Ticker,Report Date,Publish Date,Revenue,Net Income,Operating Income (Loss)
BA,2018-09-30,2018-10-24,25146000000,2363000000,2126000000
BA,2018-12-31,2019-02-08,28341000000,3424000000,4177000000
BA,2019-03-31,2019-04-24,22917000000,2149000000,2222000000
BAX,2014-03-31,2014-04-30,3848000000,556000000,672000000
BAX,2014-06-30,2014-07-30,4154000000,520000000,659000000
BAX,2014-09-30,2014-10-29,2709000000,468000000,217000000
BAX,2014-12-31,2015-02-26,8000000,953000000,-892000000
BAX,2015-03-31,2015-05-06,2403000000,430000000,92000000
BAX,2015-06-30,2015-08-07,2475000000,332000000,87000000
BAX,2015-09-30,2015-11-09,2487000000,1000000,92000000
BAX,2015-12-31,2016-02-26,2603000000,205000000,178000000
BAX,2016-03-31,2016-05-06,2375000000,3380000000,188000000
BAX,2016-06-30,2016-08-04,2585000000,1212000000,68000000
BAX,2016-09-30,2016-11-07,2558000000,130000000,186000000
BAX,2016-12-31,2017-02-23,2645000000,243000000,282000000
BAX,2017-03-31,2017-05-04,2475000000,272000000,344000000
BAX,2017-06-30,2017-08-07,2605000000,265000000,339000000
BAX,2017-09-30,2017-11-02,2707000000,251000000,292000000
BAX,2017-12-31,2018-02-23,2774000000,-71000000,283000000
BAX,2018-03-31,2018-05-09,2677000000,389000000,352000000
BAX,2018-06-30,2018-08-06,2842000000,343000000,384000000
BAX,2018-09-30,2018-11-05,2767000000,544000000,385000000
BAX,2018-12-31,2019-02-21,2841000000,348000000,478000000
BAX,2019-03-31,2019-05-08,2632000000,347000000,384000000
BBY,2009-11-30,2010-01-07,11500000000,52000000,274000000
BBY,2010-02-28,2010-04-07,14724000000,570000000,1124000000
BBY,2010-05-31,2010-07-08,10095000000,153000000,348000000
BBY,2010-08-31,2010-10-08,11022000000,158000000,280000000
BBY,2010-11-30,2011-01-07,12024000000,227000000,376000000
BBY,2011-02-28,2011-04-07,16102000000,779000000,1416000000
BBY,2011-05-31,2011-05-31,10787000000,155000000,313000000
BBY,2011-08-31,2011-08-31,11339000000,254000000,411000000
BBY,2011-11-30,2011-11-30,11890000000,217000000,385000000
BBY,2012-02-29,2012-02-29,15731000000,651000000,1403000000
BBY,2012-05-31,2012-05-31,11369000000,212000000,464000000
BBY,2012-08-31,2012-08-31,10856000000,128000000,260000000
BBY,2012-11-30,2012-11-30,11145000000,156000000,381000000
BBY,2013-02-28,2013-02-28,7941000000,-1921000000,817000000
BBY,2013-05-31,2013-05-31,10373000000,158000000,391000000
BBY,2013-08-31,2013-08-31,9339000000,12000000,179000000
BBY,2013-11-30,2013-11-30,9381000000,-10000000,36000000
BBY,2014-02-28,2014-02-28,9159000000,-601000000,512000000
BBY,2014-05-31,2014-05-31,9347000000,-81000000,174000000
BBY,2014-08-31,2014-08-31,9266000000,266000000,420000000
BBY,2014-11-30,2014-11-30,9327000000,54000000,121000000
BBY,2015-02-28,2015-02-28,12399000000,994000000,740000000
BBY,2015-05-31,2015-05-31,8639000000,461000000,212000000
BBY,2015-08-31,2015-08-31,8459000000,146000000,230000000
BBY,2015-11-30,2015-11-30,9032000000,107000000,210000000
BBY,2016-02-29,2016-02-29,13398000000,183000000,921000000
BBY,2016-05-31,2016-05-31,8443000000,229000000,401000000
BBY,2016-08-31,2016-08-31,8533000000,198000000,289000000
BBY,2016-11-30,2016-11-30,8945000000,194000000,313000000
BBY,2017-02-28,2017-02-28,13482000000,607000000,890000000
BBY,2017-05-31,2017-05-31,8528000000,188000000,300000000
BBY,2017-08-31,2017-08-31,8940000000,209000000,323000000
BBY,2017-11-30,2017-11-30,9320000000,239000000,348000000
BBY,2018-02-28,2018-02-28,15363000000,364000000,882000000
BBY,2018-05-31,2018-06-08,9109000000,208000000,295000000
BBY,2018-08-31,2018-09-10,9379000000,244000000,352000000
BBY,2018-11-30,2018-12-07,9590000000,277000000,322000000
BBY,2019-02-28,2019-03-28,14801000000,735000000,977000000
BBY,2019-05-31,2019-06-07,9142000000,265000000,334000000
BKNG,2010-06-30,2010-08-04,767439000,114957000,173159000
BKNG,2010-09-30,2010-11-04,1001757000,222980000,336769000
BKNG,2010-12-31,2011-02-09,731315000,135729000,188960000
BKNG,2011-03-31,2011-03-31,809320000,104790000,154059000
BKNG,2011-06-30,2011-08-05,1102716000,256368000,324708000
BKNG,2011-09-30,2011-11-05,1452804000,469499000,616378000
BKNG,2011-12-31,2012-02-07,990770000,225714000,303777000
BKNG,2012-03-31,2012-03-31,1037247000,181970000,241531000
BKNG,2012-06-30,2012-08-07,1326759000,352347000,458355000
BKNG,2012-09-30,2012-11-01,1706310000,596586000,755592000
BKNG,2012-12-31,2013-02-01,1190640000,288663000,374315000
BKNG,2013-03-31,2013-03-31,1302012000,244271000,309839000
BKNG,2013-06-30,2013-08-08,1680238000,437326000,554831000
BKNG,2013-09-30,2013-11-07,2269903000,832989000,1046897000
BKNG,2013-12-31,2014-02-07,1541153000,378077000,500847000
BKNG,2014-03-31,2014-03-31,1641802000,331218000,438726000
BKNG,2014-06-30,2014-08-11,2123575000,576451000,733014000
BKNG,2014-09-30,2014-11-04,2836497000,1062253000,1322705000
BKNG,2014-12-31,2015-02-04,1840097000,451831000,578867000
BKNG,2015-03-31,2015-03-31,1840694000,333327000,433969000
BKNG,2015-06-30,2015-08-05,2280397000,517032000,678331000
BKNG,2015-09-30,2015-11-05,3102901000,1196732000,1488707000
BKNG,2015-12-31,2016-02-09,1999995000,504269000,657900000
BKNG,2016-03-31,2016-03-31,2148119000,374424000,550318000
BKNG,2016-06-30,2016-08-04,2555902000,580638000,732407000
BKNG,2016-09-30,2016-11-04,3690552000,506017000,1773927000
BKNG,2016-12-31,2017-02-07,2348433000,673908000,790361000
BKNG,2017-03-31,2017-05-09,2419404000,455623000,556462000
BKNG,2017-06-30,2017-08-08,3024556000,720209000,893259000
BKNG,2017-09-30,2017-11-07,4434029000,1720391000,2101801000
BKNG,2017-12-31,2018-02-27,2803093000,-555458000,986470000
BKNG,2018-03-31,2018-05-09,2928201000,607210000,730235000
BKNG,2018-06-30,2018-08-09,3537094000,977372000,1221255000
BKNG,2018-09-30,2018-11-05,4849090000,1767578000,2246589000
BKNG,2018-12-31,2019-02-27,3212615000,645840000,1142921000
BKNG,2019-03-31,2019-05-09,2837000000,765000000,556000000
BMY,2009-06-30,2009-07-23,4665000000,983000000,1409000000
BMY,2009-09-30,2009-10-22,4788000000,966000000,1442000000
BMY,2009-12-31,2010-02-19,5033000000,8025000000,988000000
BMY,2010-03-31,2010-04-29,4807000000,743000000,1479000000
BMY,2010-06-30,2010-07-22,4768000000,927000000,1512000000
BMY,2010-09-30,2010-10-26,4798000000,949000000,1571000000
BMY,2010-12-31,2011-02-18,5111000000,483000000,1416000000
BMY,2011-03-31,2011-04-28,5011000000,986000000,1591000000
BMY,2011-06-30,2011-07-28,5434000000,902000000,1737000000
BMY,2011-09-30,2011-10-27,5345000000,969000000,1741000000
BMY,2011-12-31,2012-02-17,5454000000,852000000,1578000000
BMY,2012-03-31,2012-04-26,5251000000,1101000000,1843000000
BMY,2012-06-30,2012-07-25,4443000000,645000000,1008000000
BMY,2012-09-30,2012-10-24,3736000000,-711000000,560000000
BMY,2012-12-31,2013-02-15,4191000000,925000000,679000000
BMY,2013-03-31,2013-04-25,3831000000,609000000,655000000
BMY,2013-06-30,2013-07-25,4048000000,536000000,729000000
BMY,2013-09-30,2013-10-23,4065000000,692000000,823000000
BMY,2013-12-31,2014-02-14,4441000000,726000000,889000000
BMY,2014-03-31,2014-04-29,3811000000,937000000,777000000
BMY,2014-06-30,2014-07-24,3889000000,333000000,344000000
BMY,2014-09-30,2014-10-24,3921000000,721000000,731000000
BMY,2014-12-31,2015-02-13,4258000000,13000000,739000000
BMY,2015-03-31,2015-04-28,4041000000,1186000000,1149000000
BMY,2015-06-30,2015-07-23,4163000000,-130000000,159000000
BMY,2015-09-30,2015-10-27,4069000000,706000000,664000000
BMY,2015-12-31,2016-02-12,4287000000,-197000000,-82000000
